,x,y,DBH,H,Species
105,11.73055486,2.226940079,6.781676301,8,LS
106,5.187562207,1,8.702627503,8,LS
107,8.4335608,0.124601657,9.224901551,8,LS
108,6.268924226,3.776478404,5.028092276,8,LS
109,49.73994402,13.3581418,5.351385729,8,LS
110,44.16811871,13.29805739,9.975785516,8,LS
111,49,21.05238388,7.792710917,8,LS
112,47.41058387,1,8.252535219,8,LS
113,49,1,9.106645556,8,HS
114,48.34296832,5.618586292,7.605253998,8,HS
115,40.54657091,8.134547272,8.666797871,8,HS
116,49,11.00045258,9.061281525,8,HS
117,6.279453331,4.23842718,5.919918758,8,HS
118,1,5.958828906,7.419849013,8,HS
119,3.841810171,12.53951185,6.657954034,8,HS
120,1.725793722,7.92061852,8.538493288,8,HS
121,41.85130624,16.16073217,7.772831947,8,HS
122,40.24283013,19.89033212,5.406923457,8,HS
123,36.50475111,15.03162569,9.628255591,8,HS
124,36.79821272,11.32183558,9.55348982,8,HS
125,31.12976166,16.20113817,8.44043985,8,HS
126,36.69978197,25.21963917,7.90382377,8,HS
127,32.71864216,11.4235729,9.530175936,8,HS
128,28.28697809,20.51597611,6.201615493,8,HS
129,17.7794649,14.82979481,8.094559107,8,HS
130,13.0119315,15.53016948,8.087603712,8,HS
131,12.88239915,15.83295282,8.933832444,8,HS
132,10.12834767,10.66490227,5.769270471,8,HS
133,3.080510703,29.29019963,8.609460612,8,ZD
134,0.907164768,25.24467628,8.010450484,8,ZD
135,1,29.85993156,5.312565326,8,ZD
136,1,31.67024696,8.310919071,8,ZD
137,18.33117145,49,7.540456534,8,ZD
138,21.41111159,46.78437103,5.504480094,8,ZD
139,18.86946932,43.54050252,8.373520469,8,ZD
140,19.78806152,46.17629953,5.829196973,8,ZD
141,7.456033804,44.42009146,8.199286099,8,ZD
142,16.66703395,47.29403202,6.212922512,8,ZD
143,12.529755,49,8.027718073,8,ZD
144,15.89839701,49,7.926028451,8,ZD
145,38.92317476,41.76651596,6.291639878,8,ZD
146,37.46575986,47.24593194,8.682011735,8,ZD
147,49.66689055,39.73308503,8.203196229,8,ZD
148,31.88173424,39.65276766,5.79561295,8,ZD
149,5.644861275,28.85357849,5.703049887,8,ZD
150,4.273919042,17.64246623,6.565413678,8,ZD
151,10.9522913,19.93846042,9.095775096,8,ZD
152,9.687768399,14.24288893,6.697895095,8,ZD
153,7.882031795,49,9.916860459,8,SMQ
154,1,44.44487607,6.899585235,8,SMQ
155,2.369587315,48.72416194,6.060309634,8,SMQ
156,5.684531218,42.17283175,7.417518187,8,SMQ
157,20.6701393,33.87470945,8.585438372,8,SMQ
158,17.34130934,28.61300056,7.200311348,8,SMQ
159,24.79633051,26.54854119,6.546524966,8,SMQ
160,25.88149219,23.08395614,7.570418786,8,SMQ
161,38.14042116,18.17010502,7.064143,8,SMQ
162,44.49970748,17.77322293,8.575502995,8,SMQ
163,41.80104908,30.4660159,8.362882513,8,SMQ
164,43.805243,18.71446807,7.256103854,8,SMQ
165,27.97422024,48.21905076,7.243758198,8,SMQ
166,27.10376128,49,8.991667827,8,SMQ
167,33.98989445,48.84097916,8.534444802,8,SMQ
168,37.34060288,49,6.711966896,8,SMQ
169,10.43868669,34.33001427,5.309605096,8,SMQ
170,8.052440258,27.1832789,9.161862666,8,SMQ
171,1,25.21464826,9.680147034,8,SMQ
172,12.14971068,29.68010727,6.772546467,8,SMQ
